external_id,reference,project,developer,unit_type_raw,bedrooms,bathrooms,area_sqm,price_omr,status,review_flag,source_tab,notes
AHE2,AHE2,Sarooj Oasis,Sarooj Development,Semi Detached Villa,5,7,249.3,184505.5,available,false,main,sheet project: AHED Sarooj Oasis; +1 maid room (sheet beds '5+1'); GFA used; plot area 280.0 sqm
AHE1,AHE1,Sarooj Oasis,Sarooj Development,Detached Villa,5,7,279.6,233798.57,available,false,main,sheet project: AHED Sarooj Oasis; +1 maid room (sheet beds '5+1'); GFA used; plot area 393.2 sqm
AI6,AI6,AIDA,Dar Global / AIDA,Apartment,1,1,58.0,83852.0,available,false,main,
AI2,AI2,AIDA,Dar Global / AIDA,Apartment,2,2,88.0,122994.0,available,false,main,ref 'AI2' reused in sheet — dup dropped (main: Villa | AIDA | 386.29 sqm | 2102856.0 OMR); fix refs in tracker
AI5,AI5,AIDA,Dar Global / AIDA,Apartment,3,3,169.0,257655.0,available,false,main,
AI3,AI3,AIDA,Dar Global / AIDA,Villa,3,3,300.0,269290.0,available,false,main,
AI4,AI4,AIDA,Dar Global / AIDA,Villa,3,3,124.0,269290.0,available,false,main,
AI1,AI1,AIDA,Dar Global / AIDA,Villa,3,3,158.0,272010.0,available,false,main,ref 'AI1' reused in sheet — dup dropped (main: Villa | AIDA | 315.68 sqm | 1716771.0 OMR); fix refs in tracker
HAS5,HAS5,Jebel Sifah / Hawana Salalah,Muriya,Villa,4,5,234.0,335825.0,available,false,main,sheet project: Amazi; Amazi (Hawana Salalah sub-project) mapped to catalog Jebel Sifah / Hawana Salalah
HAS7,HAS7,Jebel Sifah / Hawana Salalah,Muriya,Villa,4,5,243.0,338552.0,available,false,main,sheet project: Amazi; Amazi (Hawana Salalah sub-project) mapped to catalog Jebel Sifah / Hawana Salalah
HAS4,HAS4,Jebel Sifah / Hawana Salalah,Muriya,Villa,4,5,243.0,338956.0,available,false,main,sheet project: Amazi; Amazi (Hawana Salalah sub-project) mapped to catalog Jebel Sifah / Hawana Salalah
ASD1,ASD1,AIDA,Dar Global / AIDA,Villa,3,3,106.0,163000.0,available,false,main,"sheet project: Amour Sans Detour; project inferred as AIDA (Yiti location, AD-* unit code)"
_MAR3,_MAR3,AIDA,Dar Global / AIDA,Townhouse,3,3,108.41,171328.5,available,false,main,"unit no: AD-V10M-222; sheet project: Amour Sans Détour; project inferred as AIDA (Yiti location, AD-* unit code)"
AI7,AI7,AIDA,Dar Global / AIDA,Villa,4,4,315.68,1215385.0,available,false,main,sheet project: Armani
YIT4,YIT4,AIDA,Dar Global / AIDA,Villa,5,6,487.0,1506534.0,available,false,main,sheet project: Armani
BEL1,BEL1,Bellevue,Ideal Buildings,Apartment,1,2,87.0,129900.0,available,false,main,sheet project: Bellevue Residence; developer from project catalog
BEL2,BEL2,Bellevue,Ideal Buildings,Apartment,1,2,95.0,179900.0,available,false,main,"sheet project: Bellevue Residence; developer from project catalog; +1 maid room (sheet beds '1+1'); size '95+45' — first figure used, +45 likely terrace/plot"
BEL3,BEL3,Bellevue,Ideal Buildings,Apartment,2,3,120.0,231700.0,available,false,main,"sheet project: Bellevue Residence; developer from project catalog; size '120+33' — first figure used, +33 likely terrace/plot"
BEL4,BEL4,Bellevue,Ideal Buildings,Apartment,2,3,166.0,299300.0,available,false,main,sheet project: Bellevue Residence; developer from project catalog; +1 maid room (sheet beds '2+1')
BEL5,BEL5,Bellevue,Ideal Buildings,Apartment,2,3,156.0,379900.0,available,false,main,"sheet project: Bellevue Residence; developer from project catalog; +Suite extra room(s) (sheet beds '2+Suite'); size '156+98' — first figure used, +98 likely terrace/plot"
HAS3,HAS3,Jebel Sifah / Hawana Salalah,Muriya,Apartment,1,1,65.0,47000.0,available,false,main,sheet project: Hawana Salalah; developer from project catalog
HAS1,HAS1,Jebel Sifah / Hawana Salalah,Muriya,Villa,2,3,110.0,155338.0,available,false,main,sheet project: Hawana Salalah; developer from project catalog
SHC37,SHC37,Hay Al Wafa,Al Abrar,Apartment,0,,68.66,41700.0,available,false,main,unit no: 61-Studio-101 - A; developer from project catalog; cant find the studio layout pics
SHC38,SHC38,Hay Al Wafa,Al Abrar,Apartment,0,,68.66,43590.0,available,false,main,unit no: 61-Studio-514 - A; developer from project catalog; cant find the studio layout pics
SHC34,SHC34,Hay Al Wafa,Al Abrar,Apartment,1,1,77.56,62110.0,available,false,main,unit no: 59-1BHK-C-413; developer from project catalog
SHC41,SHC41,Hay Al Wafa,Al Abrar,Apartment,2,3,160.81,103240.0,available,false,main,unit no: 59-2BHK-B1-526; developer from project catalog; +1 maid room (sheet beds '2+1')
SHC35,SHC35,Hay Al Wafa,Al Abrar,Apartment,3,4,170.47,105200.0,available,false,main,unit no: 61-DUPLEX-112; developer from project catalog; +1 maid room (sheet beds '3+1')
SHC32,SHC32,Hay Al Wafa,Al Abrar,Apartment,3,4,173.15,106360.0,available,false,main,unit no: 59-DUPLEX-102; developer from project catalog; +1 maid room (sheet beds '3+1')
SHC33,SHC33,Hay Al Wafa,Al Abrar,Apartment,3,4,173.15,109210.0,available,false,main,unit no: 59-DUPLEX-130; developer from project catalog; +1 maid room (sheet beds '3+1')
SHC36,SHC36,Hay Al Wafa,Al Abrar,Apartment,3,4,170.47,109890.0,available,false,main,unit no: 61-DUPLEX-128; developer from project catalog; +1 maid room (sheet beds '3+1')
SHC40,SHC40,Hay Al Wafa,Al Abrar,Townhouse,3,4,202.6,119534.0,available,false,main,unit no: TOWNHOUSES TYPE A; developer from project catalog; +1 maid room (sheet beds '3+1')
SHC39,SHC39,Hay Al Wafa,Al Abrar,Villa,5,7,429.88,242882.0,available,false,main,unit no: VILLA 01_ 400_5 BEDROOMS; developer from project catalog; +1 maid room (sheet beds '5+1')
SHC12,SHC12,Review — unmatched listings,,Apartment,0,1,52.0,55000.0,hold,true,main,sheet project: Iconic Tower; project 'Iconic Tower' not in project catalog — review
SHC14,SHC14,Review — unmatched listings,,Apartment,1,1,76.0,80000.0,hold,true,main,sheet project: Iconic Tower; project 'Iconic Tower' not in project catalog — review
SHC10,SHC10,Review — unmatched listings,,Apartment,2,2,104.0,115000.0,hold,true,main,sheet project: Iconic Tower; project 'Iconic Tower' not in project catalog — review
JS3,JS3,Jebel Sifah / Hawana Salalah,Muriya,Apartment,2,2,85.3,96491.0,available,false,main,sheet project: Jebel Sifa; developer from project catalog; ref 'JS3' reused in sheet — dup dropped (main: Farmhouse | Jebel Sifah / Hawana Salalah | 335.0 sqm | 120000.0 OMR); fix refs in tracker
JS2,JS2,Jebel Sifah / Hawana Salalah,Muriya,Villa,2,3,175.0,162732.0,available,false,main,sheet project: Jebel Sifa; developer from project catalog; ref 'JS2' reused in sheet — dup dropped (main: Farmhouse | Jebel Sifah / Hawana Salalah | 280.0 sqm | 99000.0 OMR); fix refs in tracker
JS4,JS4,Jebel Sifah / Hawana Salalah,Muriya,Villa,2,3,157.0,162732.0,available,false,main,sheet project: Jebel Sifa; developer from project catalog; ref 'JS4' reused in sheet — dup dropped (main: Farmhouse | Jebel Sifah / Hawana Salalah | 185.0 sqm | 77250.0 OMR); fix refs in tracker; ref 'JS4' reused in sheet — dup dropped (main: Farmhouse | Jebel Sifah / Hawana Salalah | 177.0 sqm | 99000.0 OMR); fix refs in tracker; ref 'JS4' reused in sheet — dup dropped (main: Farmhouse | Jebel Sifah / Hawana Salalah | 230.0 sqm | 123600.0 OMR); fix refs in tracker
JS5,JS5,Jebel Sifah / Hawana Salalah,Muriya,Villa,3,4,183.0,183492.0,available,false,main,sheet project: Jebel Sifa; developer from project catalog; ref 'JS5' reused in sheet — dup dropped (main: Standalone Villa | Jebel Sifah / Hawana Salalah | 514.0 sqm | 183492.14 OMR); fix refs in tracker
JS6,JS6,Jebel Sifah / Hawana Salalah,Muriya,Villa,3,4,183.0,183492.0,available,false,main,sheet project: Jebel Sifa; developer from project catalog; ref 'JS6' reused in sheet — dup dropped (main: Standalone Villa | Jebel Sifah / Hawana Salalah | 525.0 sqm | 187122.46 OMR); fix refs in tracker
JS1,JS1,Jebel Sifah / Hawana Salalah,Muriya,Villa,5,6,183.0,183492.0,available,false,main,sheet project: Jebel Sifah; developer from project catalog; ref 'JS1' reused in sheet — dup dropped (main: Farmhouse | Jebel Sifah / Hawana Salalah | 175.0 sqm | 75000.0 OMR); fix refs in tracker
ALM1,ALM1,Al Mouj Muscat,Al Mouj Muscat (MAF),Villa,6,7,907.0,1406000.0,available,false,main,sheet project: Jinan Island - Alaya
MUB4,MUB4,Muscat Bay,Saraya Bandar Jissah,Apartment,1,2,75.7,80555.0,available,false,main,unit no: 1 BR-B-EC; sheet project: LUMA Residence; LUMA Residence mapped to Muscat Bay master plan; developer from project catalog
